type,company,description,sku,diameter_in,weight_gr,sectional_density,name,product_name,bc_g1,bc_g7,bc_fn
rifle,Hornady,Hornady .264 130gr ELD®  Match 26177,26177,0.264,130,0.266,6.5mm .264 130 gr ELD® Match,ELD®  Match,0.554,0.279,
rifle,Hornady,Hornady .264 140gr InterLock® 2630,2630,0.264,140,0.287,6.5mm .264 140 gr InterLock® SP,InterLock®,0.465,,
rifle,Hornady,Hornady .264 140gr SST® 26302,26302,0.264,140,0.287,6.5mm .264 140 gr SST®,SST®,0.52,,
rifle,Hornady,Hornady .264 140gr ELD®  Match 26331,26331,0.264,140,0.287,6.5mm .264 140 gr ELD® Match,ELD®  Match,0.61,0.305,
rifle,Hornady,Hornady .264 140gr Match™ 26335,26335,0.264,140,0.287,6.5mm .264 140 gr BTHP Match™,Match™,0.58,,
rifle,Hornady,Hornady .264 143gr ELD-X®  2635,2635,0.264,143,0.293,6.5mm .264 143 gr ELD-X®,ELD-X®,0.625,0.315,
rifle,Hornady,Hornady .264 147gr ELD®  Match 26333,26333,0.264,147,0.301,6.5mm .264 147 gr ELD® Match,ELD®  Match,0.697,0.351,
rifle,Hornady,Hornady .264 147gr ELD®  Match 26333B,26333B,0.264,147,0.301,6.5mm .264 147 gr ELD® Match Bulk Box of 2000,ELD®  Match,0.697,0.351,
rifle,Hornady,Hornady .264 160gr InterLock® 2640,2640,0.264,160,0.328,6.5mm .264 160 gr InterLock® RN,InterLock®,0.283,,
rifle,Hornady,Hornady .267 160gr Traditional 2645,2645,0.267,160,0.321,6.5mm Carcano .267 160 gr RN,Traditional,0.275,,
rifle,Hornady,Hornady .277 100gr GMX® 27190,27190,0.277,100,0.186,6.8mm/270 Cal 100 gr GMX®,GMX®,0.274,,
rifle,Hornady,Hornady .277 110gr V-MAX® 22721,22721,0.277,110,0.205,270-6.8mm .277 110 gr V-MAX® with Cannelure,V-MAX®,0.37,,
rifle,Hornady,Hornady .277 110gr Match™ 27200,27200,0.277,110,0.205,270-6.8mm .277 110 gr BTHP with Cannelure,Match™,0.36,,
rifle,Hornady,Hornady .277 120gr SST® 2716,2716,0.277,120,0.223,270-6.8mm .277 120 gr SST®,SST®,0.4,,
rifle,Hornady,Hornady .277 130gr InterLock® 2730,2730,0.277,130,0.242,270 Cal .277 130 gr InterLock® SP,InterLock®,0.409,,
rifle,Hornady,Hornady .277 130gr SST® 27302,27302,0.277,130,0.242,270 Cal .277 130 gr SST®,SST®,0.46,,
rifle,Hornady,Hornady .277 130gr InterBond® 27309,27309,0.277,130,0.242,270 Cal .277 130 gr InterBond®,InterBond®,0.46,,
rifle,Hornady,Hornady .277 130gr GMX® 27370,27370,0.277,130,0.242,270 Cal .277 130 gr GMX®,GMX®,0.46,,
rifle,Hornady,Hornady .277 140gr InterLock® 2735,2735,0.277,140,0.261,270 Cal .277 140 gr InterLock® BTSP,InterLock®,0.486,,
rifle,Hornady,Hornady .277 140gr SST® 27352,27352,0.277,140,0.261,270 Cal .277 140 gr SST®,SST®,0.495,,
rifle,Hornady,Hornady .277 145gr ELD-X®  27356,27356,0.277,145,0.27,270 Cal .277 145 gr ELD-X®,ELD-X®,0.536,0.27,
rifle,Hornady,Hornady .277 150gr InterLock® 2740,2740,0.277,150,0.279,270 Cal .277 150 gr InterLock® SP,InterLock®,0.462,,
rifle,Hornady,Hornady .277 150gr SST® 27402,27402,0.277,150,0.279,270 Cal .277 150 gr SST®,SST®,0.525,,
rifle,Hornady,Hornady .277 150gr InterBond® 27409,27409,0.277,150,0.279,270 Cal .277 150 gr InterBond®,InterBond®,0.525,,
rifle,Hornady,Hornady .284 120gr V-MAX® 22810,22810,0.284,120,0.213,7mm .284 120 gr V-MAX®,V-MAX®,0.365,,
rifle,Hornady,Hornady .284 139gr InterLock® 2820,2820,0.284,139,0.246,7mm .284 139 gr InterLock® SP,InterLock®,0.392,,
rifle,Hornady,Hornady .284 139gr InterLock® 2825,2825,0.284,139,0.246,7mm .284 139 gr InterLock® BTSP,InterLock®,0.453,,
rifle,Hornady,Hornady .284 139gr SST® 28202,28202,0.284,139,0.246,7mm .284 139 gr SST®,SST®,0.486,,
rifle,Hornady,Hornady .284 139gr InterBond® 28209,28209,0.284,139,0.246,7mm .284 139 gr InterBond®,InterBond®,0.486,,
rifle,Hornady,Hornady .284 139gr GMX® 28270,28270,0.284,139,0.246,7mm .284 139 gr GMX®,GMX®,0.486,,
rifle,Hornady,Hornady .284 150gr ELD-X®  2826,2826,0.284,150,0.266,7mm .284 150 gr ELD-X®,ELD-X®,0.574,0.289,
rifle,Hornady,Hornady .284 154gr InterLock® 2830,2830,0.284,154,0.273,7mm .284 154 gr InterLock® SP,InterLock®,0.433,,
rifle,Hornady,Hornady .284 154gr SST® 28302,28302,0.284,154,0.273,7mm .284 154 gr SST®,SST®,0.525,,
rifle,Hornady,Hornady .284 154gr InterBond® 28309,28309,0.284,154,0.273,7mm .284 154 gr InterBond®,InterBond®,0.525,,
rifle,Hornady,Hornady .284 162gr ELD-X®  2840,2840,0.284,162,0.287,7mm .284 162 gr ELD-X®,ELD-X®,0.63,0.315,
rifle,Hornady,Hornady .284 162gr InterLock® 2845,2845,0.284,162,0.287,7mm .284 162 gr InterLock® BTSP,InterLock®,0.514,,
rifle,Hornady,Hornady .284 162gr ELD®  Match 28403,28403,0.284,162,0.287,7mm .284 162 gr ELD® Match,ELD®  Match,0.67,0.338,
rifle,Hornady,Hornady .284 162gr Match™ 28405,28405,0.284,162,0.287,7mm .284 162 gr BTHP Match™,Match™,0.61,,
rifle,Hornady,Hornady .284 162gr SST® 28452,28452,0.284,162,0.287,7mm .284 162 gr SST®,SST®,0.55,,
rifle,Hornady,Hornady .284 175gr ELD-X®  2841,2841,0.284,175,0.31,7mm .284 175 gr ELD-X®,ELD-X®,0.689,0.347,
rifle,Hornady,Hornady .284 175gr InterLock® 2850,2850,0.284,175,0.31,7mm .284 175 gr InterLock® SP,InterLock®,0.462,,
rifle,Hornady,Hornady .284 180gr ELD®  Match 28503,28503,0.284,180,0.319,7mm .284 180 gr ELD® Match,ELD®  Match,0.796,0.401,
rifle,Hornady,Hornady .308 100gr Varmint™ 3005,3005,0.308,100,0.151,30 Cal .308 100 gr Short Jacket,Varmint™,0.152,,
rifle,Hornady,Hornady .308 110gr Varmint™ 3010,3010,0.308,110,0.166,30 Cal .308 110 gr SP,Varmint™,0.256,,
rifle,Hornady,Hornady .308 110gr Traditional 3015,3015,0.308,110,0.166,30 Cal .308 110 gr RN,Traditional,0.15,,
rifle,Hornady,Hornady .308 110gr Traditional 3017,3017,0.308,110,0.166,30 Cal .308 110 gr FMJ,Traditional,0.178,,
rifle,Hornady,Hornady .308 110gr Traditional 3017B,3017B,0.308,110,0.166,30 Cal .308 110 gr FMJ (Bulk 3,000 ct box),Traditional,0.178,,
rifle,Hornady,Hornady .308 110gr V-MAX® 23010,23010,0.308,110,0.166,30 Cal .308 110 gr V-MAX®,V-MAX®,0.29,,
rifle,Hornady,Hornady .308 110gr GMX® 30191,30191,0.308,110,0.166,30 Cal .308 110 gr GMX®,GMX®,0.305,,
rifle,Hornady,Hornady .308 125gr SST® 3019,3019,0.308,125,0.185,30 Cal .308 125 gr SST®,SST®,0.305,,
rifle,Hornady,Hornady .308 125gr GMX® 30190,30190,0.308,125,0.185,30 Cal .308 125 gr GMX®,GMX®,0.295,,
rifle,Hornady,Hornady .308 125gr Traditional 30192,30192,0.308,125,0.185,30 Cal .308 125 gr HP,Traditional,0.32,,
rifle,Hornady,Hornady .308 130gr Varmint™ 3020,3020,0.308,130,0.196,30 Cal .308 130 gr SP,Varmint™,0.295,,
