"type","company","description","sku","diameter_in","weight_gr","sectional_density","name","product_name","bc_g1","bc_g7","bc_fn"
"rifle","Sierra","Sierra .243 85gr Varminter 1520","1520","0.243","85","0.206","6mm .243 Caliber (.243) 85 gr. SPT","Varminter","","","{"".315"": [2800, null], "".307"": [2200, 2800] , "".304"": [0, 2200]}"
"rifle","Sierra","Sierra .243 85gr GameKing 1530","1530","0.243","85","0.206","6mm .243 Caliber (.243) 85 gr. HPBT","GameKing","","","{"".311"": [1800, null], "".304"": [1800, 1500] , "".285"": [0, 1500]}"
"rifle","Sierra","Sierra .243 90gr GameKing 1535","1535","0.243","90","0.218","6mm .243 Caliber (.243) 90 gr. FMJBT","GameKing","","","{"".387"": [2800, null], "".376"": [2100, 2800] , "".368"": [0, 2100]}"
"rifle","Sierra","Sierra .243 95gr MatchKing 1537","1537","0.243","95","0.23","6mm .243 caliber (.243) 95 gr. HPBT MatchKing","MatchKing","","","{"".490"": [2750, null], "".460"": [2750, 1700] , "".450"": [0, 1700]}"
"rifle","Sierra","Sierra .243 95gr Tipped MatchKing 7295","7295","0.243","95","0.23",".243 Caliber (.243) 95 gr. Tipped MatchKing (TMK)","Tipped MatchKing","","","{"".500"": [3050, null], "".490"": [3050, 1550] , "".460"": [0, 1550]}"
"rifle","Sierra","Sierra .243 100gr Pro-Hunter 1540","1540","0.243","100","0.242","6mm .243 Caliber (.243) 100 gr. SPT","Pro-Hunter","","","{"".373"": [2800, null], "".363"": [2200, 2800] , "".352"": [1700, 2200] , "".342"": [0, 1700]}"
"rifle","Sierra","Sierra .243 100gr GameKing 1560","1560","0.243","100","0.242","6mm .243 Caliber (.243) 100 gr. SBT","GameKing","","","{"".430"": [2800, null], "".419"": [2200, 2800] , "".397"": [1700, 2200] , "".385"": [0, 1700]}"
"rifle","Sierra","Sierra .243 107gr MatchKing 1570","1570","0.243","107","0.259","6mm .243 Caliber (.243) 107 gr. HPBT MatchKing","MatchKing","","","{"".547"": [2500, null], "".542"": [2500, 1800] , "".529"": [1800, 1600] , "".519"": [0, 1600]}"
"rifle","Sierra","Sierra .243 110gr MatchKing 1575","1575","0.243","110","0.266","6mm .243 Caliber (.243) 110 gr. HPBT MatchKing","MatchKing","","","{"".617"": [2600, null], "".605"": [1900, 2600] , "".580"": [0, 1900]}"
"rifle","Sierra","Sierra .257 70gr BlitzKing 1605","1605","0.257","70","0.151",".25 Caliber (.257) 70 gr. BlitzKing","BlitzKing","","","{"".260"": [3150, null], "".251"": [3150, 2800] , "".242"": [2800, 1800] , "".230"": [0, 1800]}"
"rifle","Sierra","Sierra .257 75gr Varminter 1600","1600","0.257","75","0.162",".25 Caliber (.257) 75 gr. HP","Varminter","","","{"".189"": [2600, null], "".197"": [2000, 2600] , "".210"": [1500, 2000] , "".230"": [0, 1500]}"
"rifle","Sierra","Sierra .257 87gr Varminter 1610","1610","0.257","87","0.188",".25 Caliber (.257) 87 gr. SPT","Varminter","","","{"".293"": [2800, null], "".289"": [2100, 2800] , "".283"": [1500, 2100] , "".272"": [0, 1500]}"
"rifle","Sierra","Sierra .257 90gr GameKing 1615","1615","0.257","90","0.195",".25 Caliber (.257) 90 gr. HPBT","GameKing","","","{"".250"": [2800, null], "".260"": [2000, 2800] , "".267"": [1400, 2000] , "".255"": [0, 1400]}"
